Station ID,Name,Latitude,Longitude,Road Number,Municipality,Province
C08531,vt9_Noljakka,62.618315,29.728748,,,
C08532,vt23_Leppävirta_Soisalo,62.407354,28.165408,,,
C08533,vt5_Siilinjärvi_Räimä,63.040002,27.660939,,,
C08534,st573_Kaavi,62.978784,28.449154,,,
C08535,st536_Vehmersalmi,62.767344,27.998791,,,
C08536,vt5_Iisalmi_Pöytäkangas,63.544022,27.249218,,,
C08537,vt5_Lapinlahti_Alapitkä,63.21277,27.527911,,,
C08538,vt5_Kuopio_Siikalahti,62.884793,27.635852,,,
C08540,kt74_Heinävaara,62.559261,30.173316,,,
C08541,vt6_Kitee_Kesälahti,61.900117,29.808879,,,
C08543,vt6_Tohmajärvi_Onkamo,62.310956,30.123326,,,
C08544,st551_Kuopio_Pihkainmäki,62.84291,27.341408,,,
